district,missing_date
3D,2020-05-06
3D,2020-05-07
3D,2020-05-08
3D,2020-05-09
3D,2020-05-10
3D,2020-05-11
3D,2020-05-12
3D,2020-05-13
3D,2020-05-14
3D,2020-05-15
3D,2020-05-16
3D,2020-05-17
3D,2020-05-18
3D,2020-05-19
3D,2020-05-20
3D,2020-05-21
3D,2020-05-22
3D,2020-05-23
3D,2020-05-24
3D,2020-05-25
3D,2020-05-26
3D,2020-05-27
3D,2020-05-28
3D,2020-05-29
3D,2020-05-30
3D,2020-05-31
3D,2020-06-01
3D,2020-06-02
3D,2020-06-03
3D,2020-06-04
3D,2020-06-05
3D,2020-06-06
3D,2020-06-07
3D,2020-06-08
3D,2020-06-09
3D,2020-06-10
3D,2020-06-11
3D,2020-06-12
3D,2020-06-13
3D,2020-06-14
3D,2020-06-15
3D,2020-06-16
3D,2020-06-17
3D,2020-06-18
3D,2020-06-19
3D,2020-06-20
3D,2020-06-21
3D,2020-06-22
3D,2020-06-23
3D,2020-06-24
3D,2020-06-25
3D,2020-06-26
3D,2020-06-27
3D,2020-06-28
3D,2020-06-29
3D,2020-06-30
3D,2020-07-01
3D,2020-07-02
3D,2020-07-03
3D,2020-07-04
3D,2020-07-05
3D,2020-07-06
3D,2020-07-07
3D,2020-07-08
3D,2020-07-09
3D,2020-07-10
3D,2020-07-11
3D,2020-07-12
3D,2020-07-13
3D,2020-07-14
3D,2020-07-15
3D,2020-07-16
3D,2020-07-17
3D,2020-07-18
3D,2020-07-19
3D,2020-07-20
3D,2020-07-21
3D,2020-07-22
3D,2020-07-23
3D,2020-07-24
3D,2020-07-25
3D,2020-07-26
3D,2020-07-27
3D,2020-07-28
3D,2020-07-29
3D,2020-07-30
3D,2020-07-31
3D,2020-08-01
3D,2020-08-02
3D,2020-08-03
3D,2020-08-04
3D,2020-08-05
3D,2020-08-06
3D,2020-08-07
3D,2020-08-08
3D,2020-08-09
3D,2020-08-10
3D,2020-08-11
3D,2020-08-12
3D,2020-08-13
3D,2020-08-14
3D,2020-08-15
3D,2020-08-16
3D,2020-08-17
3D,2020-08-18
3D,2020-08-19
3D,2020-08-20
3D,2020-08-21
3D,2020-08-22
3D,2020-08-23
3D,2020-08-24
3D,2020-08-25
3D,2020-08-26
3D,2020-08-27
3D,2020-08-28
3D,2020-08-29
3D,2020-08-30
3D,2020-08-31
3D,2020-09-01
3D,2020-09-02
3D,2020-09-03
3D,2020-09-04
3D,2020-09-05
3D,2020-09-06
3D,2020-09-07
3D,2020-09-08
3D,2020-09-09
3D,2020-09-10
3D,2020-09-11
3D,2020-09-12
3D,2020-09-13
3D,2020-09-14
3D,2020-09-15
3D,2020-09-16
3D,2020-09-17
3D,2020-09-18
3D,2020-09-19
3D,2020-09-20
3D,2020-09-21
3D,2020-09-22
3D,2020-09-23
3D,2020-09-24
3D,2020-09-25
3D,2020-09-26
3D,2020-09-27
3D,2020-09-28
3D,2020-09-29
3D,2020-09-30
3D,2020-10-01
3D,2020-10-02
3D,2020-10-03
3D,2020-10-04
3D,2020-10-05
3D,2020-10-06
3D,2020-10-07
3D,2020-10-08
3D,2020-10-09
3D,2020-10-10
3D,2020-10-11
3D,2020-10-12
3D,2020-10-13
3D,2020-10-14
3D,2020-10-15
3D,2020-10-16
3D,2020-10-17
3D,2020-10-18
3D,2020-10-19
3D,2020-10-20
3D,2020-10-21
3D,2020-10-22
3D,2020-10-23
3D,2020-10-24
3D,2020-10-25
3D,2020-10-26
3D,2020-10-27
3D,2020-10-28
3D,2020-10-29
3D,2020-10-30
3D,2020-10-31
3D,2020-11-01
3D,2020-11-02
3D,2020-11-03
3D,2020-11-04
3D,2020-11-05
3D,2020-11-06
3D,2020-11-07
3D,2020-11-08
3D,2020-11-09
3D,2020-11-10
